,datetime,content,title
0,2020-04-26 23:21:44,云财经讯，南财智库、21世纪经济报道南方责任投资行动研究团队研究数据发现，2019年至今A股公告的受到监管层处罚的违法违规事件合计1591次，涉及777家上市公司。其中有294家次上市公司涉及股东或高管资金占用。（21世纪经济报道）,一个小伎俩诱发套利风波：六家A股公司“以资产抵偿”致“二次伤害”始末
1,2020-04-26 22:58:59,云财经讯，4月24日，深圳市兆新能源股份有限公司披露2019年年度报告，公司五位董事、三位监事及四位高级管理人员均声明称，无法保证公司年度报告的真实、准确、完整。本所对此高度关注，第一时间发出关注函，要求公司上述人员忠实勤勉履职，并就公司2018年、2019年连续两年亏损及2019年财务报告被出具无法表示意见的审计报告，自4月27日开市起对公司股票交易实行退市风险警示处理。,深交所高度关注兆新股份年度报告，要求董监高勤勉履职
2,2020-04-26 22:29:48,云财经讯，根据拉勾网页面信息，当当方面于今晚20:28调整了招聘要求，其中，将月薪调整至30-40k，同时在岗位职责中删除了“处理企业危机公关”这一要求，改为“组织并搜集舆情、分析、偶尔进行的危机处理”。（新浪）,当当网调整公关总监招聘要求，月薪30K-40k并删除处理危机公关要求
3,2020-04-26 22:26:05,云财经讯，针对上周五微博文案言论不当引发巨大争议，小米集团副总裁常程26日下午在个人微博发文致歉。常程表示：“上周五我的一条微博文案言论不当，对公共空间发言的严谨性理解认识严重不足，影响很坏，引起网友不适，也给所有关心和喜爱我们的用户造成了巨大的困扰，让大家失望。我真的错了，大家的批评我全部接受。在此我诚恳致歉，今后必定谨慎言行。”同时，小米官微也发文致歉：近日我司员工常程在微博发布不当言论，引发网友和用户不适，对于此事造成的社会不良影响，小米公司向大家诚恳致歉。常程本人对此进行了深刻反省，在公司内部做了深刻检讨。公司将继续加强对员工言行准则的培训，杜绝类似事件发生。感谢大家的监督与批评。,小米集团副总裁常程就微博文案言论不当致歉，小米：今后杜绝类似事件发生
4,2020-04-26 22:21:01,云财经讯，全国股转公司将在4月27日正式启动股票公开发行并在精选层挂牌业务的受理与审查工作。目前已经有13家拟精选层公司完成了辅导验收，可以于27日进行申报。有公司表示，27日凌晨受理系统一开闸就递交申报材料。上述13家公司均已公布2019年业绩，符合精选层入层标准，其中7家公司符合的财务标准在两条及以上，公司行业主要以制造业和服务业为主。（上海证券报）,精选层申报27日开闸
5,2020-04-26 22:14:26,云财经讯，比尔·盖茨：冠状病毒疫苗可能需要长达两年的时间,比尔·盖茨：冠状病毒疫苗可能需要长达两年的时间
6,2020-04-26 22:12:05,云财经讯，证监会4月26日公告，发审委定于4月30日召开工作会议，审核法狮龙家居建材股份有限公司、海南葫芦娃药业集团股份有限公司的首发事项。,证监会：法狮龙家居、葫芦娃药业4月30日首发上会
7,2020-04-26 22:10:27,云财经讯，据俄罗斯防疫指挥部26日消息，过去24小时俄新增新冠确诊病例6361例，创单日确诊病例数新高，累计确诊病例突破8万，达80949例。数据显示，莫斯科新增病例2971例，累计确诊42480例；全俄新增死亡病例66例，累计死亡747例；新增治愈517例，累计治愈6767例。（新华视点）,俄罗斯新冠病例破8万，单日确诊病例数创新高
8,2020-04-26 21:58:36,云财经讯，今天，江西省宣布省内所有的贫困县全部脱贫摘帽。截至4月26日，我国已有河北、山西、内蒙古、吉林、黑龙江、河南、湖南、海南、重庆、西藏、陕西、青海、湖北、江西等14个省区市的贫困县实现了全部脱贫摘帽。（河北发布）,14省区市贫困县全部脱贫摘帽
9,2020-04-26 21:51:50,云财经讯，为推动我国电子信息工程科技领域高质量发展，中国工程院信息与电子工程学部、中国信息与电子工程科技发展战略研究中心26日发布“中国电子信息工程科技发展十六大技术挑战（2020）”，分析了我国电子信息工程科技在感知、网络安全、新基建等16个领域方向所面临的技术挑战。这16个领域包括微电子光电子、光学工程、感知、测量计量与仪器、电磁空间、网络与通信等。（新华社）,中国工程院发布中国电子信息工程科技发展十六大技术挑战
