,title,content,pub_time,src
0,徐伟：往年2、3、4月也是淡季 疫情对收入利润影响相对较小,"【新浪财经上市公司V路演第三期】疫情来袭，旅游行业近乎停摆，企业如何自救发展、行业如何“危转机”？2020年，旅游企业如何逆风前行？凯撒旅业副董事长徐伟先生做客新浪财经“V路演”详解疫情下旅游行业突围思路与公司抗疫举措。
徐伟表示，对公司旅游业务来说，一季度的冲击肯定是大的，实际上从2月份开始已经没有团出发。但往年2月份、3月份、4月份也是淡季，从收入、利润的角度影响相对较小，但是如果不发团了，对收入肯定会有相应的影响。在我自己对整个公司经营发展的判断上讲，如果在6月底之前疫情能够得到非常好的控制，我们应该是不会调整整个全年预算的。
责任编辑：陈悠然 SF104",2020-02-26 15:59:44,新浪财经
1,伸手必被抓 前证监会国际部副处长受贿被判刑罚20万,"原标题：伸手必被抓 前证监会国际部副处长犯受贿罪判3缓3罚款20万
来源：财联社
2月26日北京法院审判信息网公布一份裁判文书披露，近日北京市第二中级人民法院对原证监会国际部副处长刘鑫犯受贿罪做出刑事判决。由于借两只H股上市股票湖南有色、栾川钼业牟利，刘鑫被判处有期徒刑3年缓刑3年，并处罚金20万元。
刘鑫曾任中国证券监督管理委员会国际合作部综合处副处长，因涉嫌犯职务侵占罪于2018年10月28日被抓获，同月29日被指定居所监视居住；因涉嫌犯受贿罪于2018年11月23日被采取留置措施；因涉嫌犯受贿罪、职务侵占罪于2019年5月22日被刑事拘留；因涉嫌犯受贿罪于同年5月29日被逮捕，同年11月21日被取保候审。
刘鑫涉及的案件要追溯到十余年前。2006年至2007年间，刘鑫利用担任中国证券监督管理委员会国际部综合处副处长，负责审核境内企业在香港H股上市的职务便利，接受相关涉案人员请托，为其参与湖南有色金属股份有限公司、洛阳栾川钼业集团股份有限公司在香港H股上市的股票配售提供帮助。为此，多次收受相关涉案人员给予的人民币150万元，高尔夫球卡一张，共计折合人民币196.4万元。
有关证人陈某指证，2006年，刘鑫说他知道有能挣钱的股票，这些股票近期要在香港H股上市，问陈某有没有认识的人能在香港购买股票，他可以联系发行人或承销商，以配售方式购买到这些股票，如果挣到钱，他和陈某各拿利润的50%，陈某同意了。
后来陈某找到朋友朱某，说在证监会的一个朋友掌握着一些能挣钱的香港H股的股票资源，让朱某出资在香港买这些股票，挣钱后，证监会的朋友拿50%利润，陈某和朱某各拿25%。朱某同意了。 
然后陈某和刘鑫达成一致，刘鑫将发行方或承销商相关人员的联系方式告诉陈某，让陈某跟这些人联系，沟通认购配售股票的数量，然后将发行方或承销商的联系方式告诉朱某，由朱某负责跟对方沟通认购配售的具体事务。陈某、朱某通常会在股票上市的当天或第二天将配售的股票全部卖出获得溢价，然后朱某将应该给陈某和刘鑫的75%的收益以银行转账的方式到陈某账户。印象中买过栾川钼业、湖南有色等股票。
另外，刘鑫曾带陈某与栾川钼业实际控制人于某一起吃饭，期间刘鑫介绍是他朋友，想买一些栾川钼业的股票，让于某帮忙，于某当时也同意。2006年至2007年间，在朱某把股票配售收益汇给证人后，陈某陆续给过刘鑫一些现金，一共150万元左右。2006年其花92.8万元办了两张高尔夫球卡，一张是刘鑫的名字给了刘鑫。
上述事件除得到了相关多位证人证词，两位证监会工作人员亦进行了作证。
证人乔某（时任证监会国际合作部境外上市处工作人员）的证言证明：境内企业赴港上市一般由两名承办人审核，通常是一名副处长带一名副主任科员具体承办。2005年底湖南有色申请赴港上市，刘鑫和其作为承办人具体负责审核，2006年1月左右证监会批复同意，2006年3月左右正式上市。2006年底栾川钼业申请上市，刘鑫和其具体负责审核，2007年2月证监会批复同意，2007年4月正式上市。
证人竺某（时任证监会国际合作部境外上市处处长）的证言也证明：栾川钼业和湖南有色赴港上市审核的具体承办人是刘鑫，他带乔某具体承办审核工作。
北京市第二中级人民法院认为，刘鑫作为国家工作人员，利用职务上的便利为他人谋取利益，非法收受他人财物，行为已构成受贿罪，且受贿数额巨大，依法应予惩处。
但鉴于刘鑫主动如实供述有关机关未掌握的主要犯罪事实，具有自首情节，且能积极退缴全部赃款，在侦查、调查、审查起诉及审判阶段均能认罪悔罪，并在审查起诉期间自愿认罪认罚。且对其不予关押不致再危害社会，对所在社区不会产生重大不良影响。因而法院对其从轻处罚并适用缓刑。
最终，刘鑫被判犯受贿罪，处有期徒刑3年缓刑3年，并处罚金人民币20万元，在案扣押的人民币216.4万元中的196.4万元作为违法所得没收上缴国库，剩余20万元充抵罚金。
责任编辑：陈志杰",2020-02-26 15:58:34,新浪财经
2,雅克科技：拟3.34亿购LG化学光刻胶事业部经营性资产,"雅克科技：子公司斯洋国际拟以3.34亿元购买LG化学下属的彩色光刻胶事业部的部分经营性资产，标的资产主要包括与彩色光刻胶业务相关的部分生产机器设备、存货、知识产权类无形资产、经营性应收账款等。
责任编辑：王帅",2020-02-26 15:56:58,新浪财经
3,徐伟:疫情是危机也是机遇 抓住调整机会把企业转型做扎实,"【新浪财经上市公司V路演第三期】疫情来袭，旅游行业近乎停摆，企业如何自救发展、行业如何“危转机”？2020年，旅游企业如何逆风前行？凯撒旅业副董事长徐伟先生做客新浪财经“V路演”详解疫情下旅游行业突围思路与公司抗疫举措。
徐伟表示，本次疫情是危机也是机遇，我们会抓住调整的机会把企业转型做扎实。经过前期的一系列铺垫，公司正稳步推进着构建旅游全产业链公司的战略规划。年前对境外旅行社投资收购、对境外当地生活服务的投入等，都是希望把产业链拉长，以更好应对经济周期的波动。同时在公司创始人在2019年10月正式收回凯撒旅业实控权以后，提出了“一主三辅”的发展思路，后续公司将以旅游为主，同时兼顾食品（航食、铁餐），免税和金融业务（易生支付），这些辅助板块在这次疫情中大大增强了我们的抗风险能力。疫情过后将是重大的市场商机和转机。
责任编辑：陈悠然 SF104",2020-02-26 15:55:16,新浪财经
4,仙坛股份：2019年实现净利润10亿元 同比增149.72%,"仙坛股份业绩快报：2019年全年实现净利润10亿元，同比增长149.72%。受鸡肉供给紧张和需求替代影响，白羽肉鸡行业景气度持续攀升，公司鸡肉产品销售价格同比上升，导致营业利润及利润总额较上年度大幅增加 。
责任编辑：王帅",2020-02-26 15:51:56,新浪财经
5,徐伟:疫情对餐饮旅游板块冲击非常直接 之后会有消费的反弹,"【新浪财经上市公司V路演第三期】疫情来袭，旅游行业近乎停摆，企业如何自救发展、行业如何“危转机”？2020年，旅游企业如何逆风前行？凯撒旅业副董事长徐伟先生做客新浪财经“V路演”详解疫情下旅游行业突围思路与公司抗疫举措。
徐伟表示，这次疫情对整个餐饮旅游板块的冲击是非常直接的，在旅游、免税、航司、酒店等各个细分板块都有明确的影响。但是现在来看，因为旅游属于轻资产，相关境内旅游产品的退团退款也都沉淀到下游的航司、酒店等。所以基本上我们的支出在于房租和员工这一块，现在国家对房租和员工这一块都出了很多利好的政策，这个对公司的支持也是很大的。
他指出，从复盘2003年非典来看，中小型旅行社预计在此次疫情中会受到较大影响，促使整个旅游行业整合变革。同时从经营上来看，非典时期凯撒基本上上半年是全部停业的，下半年把所有的收入和利润指标全部完成了。疫情给很多旅游需求都是延后的，现在市场都是预计疫情之后肯定会有消费的反弹。
责任编辑：陈悠然 SF104",2020-02-26 15:51:28,新浪财经
6,上海莱士：2019实现净利6.2亿 上年同期亏损15.2亿元,"上海莱士业绩快报：2019年全年实现净利润6.2亿元，上年同期亏损15.2亿元。公司主营血液制品业务发展良好，本年度公司逐步退出风险投资，同比减少投资损失约19.61亿元。
责任编辑：王帅",2020-02-26 15:49:11,新浪财经
7,康得新因借款纠纷被纳入失信被执行人 期限两年,"中国网科技2月26日讯 昨日，康得新披露公告称，因与建行张家港分行存在金融借款合同纠纷，且未履行法院民事判决书确定的义务，康得新及其子公司张家港康得新光电材料有限公司（下称“光电公司”）和张家港保税区康得菲尔实业有限公司（下称“康得菲尔”）被纳入失信被执行人名单，期限为两年。
公告显示，此次共涉及两份《执行决定书》，分别为“（2019）苏0582执7345号”和“（2019）苏0582执7346号《执行决定书》”。
对于“（2019）苏0582执7345号《执行决定书》”，公告显示，建行张家港分行与光电公司、康得菲尔、康得新金融借款合同纠纷一案，经查，被执行人违反财产报告制度，未履行苏州市中级人民法院（2019）苏05民初132号民事判决书确定的义务，依照规定，光电公司、康得菲尔、康得新纳入失信被执行人名单，期限为两年。
对于另外一份《执行决定书》“（2019）苏0582执7346号”，公告显示，建行张家港分行与康得菲尔、康得新金融借款合同纠纷一案，经查，被执行人违反财产报告制度，未履行张家港市人民法院（2019）苏0582民初1558号民事判决书确定的义务，决定将康得菲尔、康得新纳入失信被执行人名单，期限为两年。
康得新表示，本次被纳入失信被执行人名单对公司形象有负面影响，目前公司正在积极协商妥善的解决办法，尽快处理上述事项。
责任编辑：王帅",2020-02-26 15:46:22,新浪财经
8,徐伟：公司已开始组织各部门建立轮流现场办公机制,"【新浪财经上市公司V路演第三期】疫情来袭，旅游行业近乎停摆，企业如何自救发展、行业如何“危转机”？2020年，旅游企业如何逆风前行？凯撒旅业副董事长徐伟先生做客新浪财经“V路演”详解疫情下旅游行业突围思路与公司抗疫举措。
徐伟表示，针对此次疫情，公司在客户和经营上都做了相关的应对措施，保障春节前已出发客人的安全；经营上及时关闭门店积极沟通房租物业的减免，保持疫情影响期间的最低成本运营；同时，需政府和行业支持的质保金退款、专项资金正在积极沟通当中。复工方面，公司已经开始有计划的组织各部门建立轮流现场办公机制，为此，我们提前进行了办公区的封闭式消毒，为到岗的员工每日派发口罩等，以确保员工安全。
现阶段，我们也在积极做好各项员工的培训工作，提升企业自身竞争力；同时加强门店人员服务指导，以提供更符合用户需求的业务及体验，为疫情过后的业务恢复和市场开拓做好充分准备。从2月中旬开始，公司已经开始有计划的组织各部门建立轮流现场办公机制，并做好弹性工作安排。
责任编辑：陈悠然 SF104",2020-02-26 15:45:21,新浪财经
9,上海：加快电竞、游戏相关网络出版内容行政审批速度,"来源： 财联社
解放日报·上观新闻记者从2月26日举行的上海市新冠肺炎疫情防控新闻发布会获悉，疫情期间及上半年，已有400多场线下电竞比赛受到不同程度的影响，但上海打造“全球电竞之都”的步伐没有放缓，各项工作和重点项目布局正在加快推进过程中，帮助电竞企业渡过难关。
一是对受疫情影响的线下电竞赛事，鼓励电竞企业转型开展线上比赛。二是加快电竞、游戏相关网络出版内容产品的行政审批速度，全面推广上海网络游戏出版管理申报服务平台，简化线下申报流程，充分发挥网上申报流程的便捷性、透明性优势，为企业提供好服务。三是全力办好英雄联盟全球总决赛S10等重大赛事，并正在积极部署新一轮的国际头部赛事落沪，为更多优秀电竞企业集聚上海持续创造良好的营商环境。
电竞产业链包括“上游的内容授权，中游的电竞赛事，下游的内容传播”。赛事是电竞生态体系的核心，成功的电竞赛事可以反哺游戏内容本身，而电竞内容传播和泛电竞衍生产业也均围绕着电竞赛事展开。预计在2022年，中国将会有4.3亿电竞用户，这意味着近1/4的中国人都在关注电竞。机构认为，叠加5G云游戏开辟新市场空间，游戏板块低估值龙头标的迎来布局机会。看好云游戏发展前期优质CP议价权提升带来的估值水平提升，以及中长期游戏内容创新、分发格局演变等带来的新投资机会。
相关公司：
神州泰岳：旗下全资子公司壳木软件作为手机游戏板块的核心团队，以研发打造重度手游产品为主，定位于全球渠道游戏发行。已成功研发并发行了《小小帝国》、《人在天朝》、《风暴纪元》、《天子传奇》、《战火与秩序》等大型重度游戏。
东方明珠：公司2018年4月26宣布，将全面布局电子竞技市场，推进电竞游戏、电竞联赛、电竞联盟、电竞场馆等项目的建设。公司同时宣布牵头成立电子竞技联盟 -- G联盟，成员涵盖内容方、平台方及赛事合作伙伴等诸多产业。
莱茵体育：设立莱茵电竞公司并收购浙江阿瓦隆公司（品牌联合创始人为著名Dota世界冠军和解说领头人伍声2009）股权切入电子竞技领域。阿瓦隆公司为新设企业，将置入宙盾网络51%股权、新希望网络100%股权、众力网络51%股权、迈达网络67%股权、追梦腾龙网络51%股权。该公司将把FTD连锁网咖由传统网咖转型升级为电竞俱乐部，为业余玩家和职业玩家提供日常训练和相互交流的平台，为电竞赛事等活动提供高质量的场地。
责任编辑：王帅",2020-02-26 15:40:05,新浪财经
