,datetime,content,title
0,2020-05-11 23:59:00,当前黄金期货未平仓合约结束下滑，逐步反弹。市场正重筑信心，利于金价开启下一轮牛市。此前次贷危机时，持仓量的反弹为金价上涨提供了重要支撑。考虑巨量失业人口和疫情对经济增长的破坏，宽松货币政策需维持较长时间以待基本面修复。这为金价...,德银：仓位企稳 美元危机缓解 中期黄金看$1800
1,2020-05-11 23:56:00,诺瓦瓦克斯医药公司短线上扬，现涨超15%。诺瓦瓦克斯医药公司将在会议软件webinar上展示新冠肺炎候选疫苗进展。,诺瓦瓦克斯医药公司短线上扬，现涨超15%
2,2020-05-11 23:56:00,美联储联邦基金利率期货开始对2021年6月出现负利率进行小幅定价。,美联储联邦基金利率期货开始对2021年6月出现负利率进行小...
3,2020-05-11 23:54:00,意大利新增新冠肺炎确诊病例744例，为3月4日以来最低水平。病例达到219814例，死亡30739例。,意大利新增新冠肺炎确诊病例744例，为3月4日以来最低水平
4,2020-05-11 23:47:00,中国白酒巨头贵州茅台正领军股市的复苏，无视全球酒类需求下滑的迹象。贵州茅台每股股价在1314元人民币，是中国最高价的股票，自3月19日的低点以来，市值增加了近600亿美元。自那时以来，茅台一直是上证综指最大的贡献者，该指数7.2%涨幅中，约...,茅台无视全球酒类需求的低迷
5,2020-05-11 23:46:00,财政和货币力量正在推动曲线两端的美债收益率差距扩大。两年期公债收益率本周初报0.16%，离上周五触及的纪录低点不远，因市场押注美联储可能在2021年将指标利率降至零以下。五年期国债收益率上周五也跌至前所未有的0.27%，比长期国债收益率低约1...,美债收益率曲线开始变陡
6,2020-05-11 23:45:00,欧洲主要股指多数收跌，欧洲斯托克50指数收盘下跌0.82%，报2884.35点；德国DAX指数收盘下跌0.74%，报10823.50点；英国富时100指数收盘上0.10%，报5941.85点；法国CAC40指数收盘下跌跌幅1.31%，报4490.22点。,欧洲主要股指多数收跌 法国CAC40指数跌超1%
7,2020-05-11 23:38:00,世界卫生组织：大多数人仍然易感新冠肺炎。世界卫生组织总干事谭德塞：缓慢、稳定地解除封锁是关键的。,世界卫生组织：大多数人仍然易感新冠肺炎
8,2020-05-11 23:29:00,美、布两油持续回落，布伦特原油期货跌超3%，完全回吐早前沙特宣布额外减产以来的涨幅，现报29.94美元/桶；WTI原油7月期货现跌超2%，报25.65美元/桶。,美、布两油持续回落，布伦特原油期货跌超3%
9,2020-05-11 23:28:00,自3月23日低点以来，标普500指数中能源板块反弹幅度最大，达到近63%。,自3月23日低点以来，标普500指数中能源板块反弹幅度达到...
10,2020-05-11 23:18:00,在吉利德科学向全球捐赠的150万瓶瑞德西韦中，美国将获得不到一半，预计将不足以治疗所有符合使用资格的患者。吉利德将在未来六周之内向美国捐赠大约60.7万瓶瑞德西韦。根据美国卫生与公共服务部的数据，这些药物可治疗大约78000名住院患者。加...,吉利德向全球捐赠瑞德西韦 美国所获数量恐不够治疗所有合...
11,2020-05-11 23:15:00,国内商品期货夜盘多数下跌，铁矿石收跌0.32%，焦炭、焦煤分别收跌0.29%、0.09%，动力煤收涨1.42%。橡胶收涨0.14%，沥青收跌0.48%。豆粕、菜粕、大豆分别收跌0.91%、0.94%、0.02%。棕榈油收跌0.77%。螺纹钢、热轧卷板分别收涨0.26%、0.15%。,国内商品期货夜盘多数下跌，铁矿石收跌0.32%
12,2020-05-11 23:14:00,海外疫情不明朗的现状下，终端需求萎靡，下修面板订单。群智咨询预计，在整体需求不景气的情况下，5月份智能手机面板价格整体呈下降趋势。（证券时报）,群智咨询：预计5月份智能手机面板价格整体呈下降趋势
13,2020-05-11 23:14:00,伊拉克报告新增新冠肺炎确诊病例51例，累计报告2818例。,伊拉克报告新增新冠肺炎确诊病例51例
14,2020-05-11 23:09:00,德国一个主要的商业游说组织表示，英国政府谈判人员并未就英国与欧盟的未来关系进行足够认真的谈判，如果不能在今年年底之前达成协议，可能会引发“经济灾难”。德国BDI行业联合会董事总经理Joachim Lang表示，周一之前的进展“完全不足”，并且...,德国游说组织警告英国 达不成贸易协议将带来经济“灾难”
15,2020-05-11 23:04:00,伴随着比特币跌回9000美元关口下方，美股区块链概念股集体下跌，Marathon Patent目前下跌12%，盘中一度跌超20%；嘉楠耘智、第九城市跌超6%，迅雷、Riot Blockchain跌超5%，中网载线跌3.8%。,美股区块链概念股集体下跌，Marathon Patent一度跌超20%
16,2020-05-11 23:03:00,BK Asset Management总经理Boris Schlossberg表示，外汇市场正押注美元，因预期美国经济反弹“将比欧洲更快和更强”，因欧洲在提出一个经济刺激计划的问题上“高度分裂”。他表示，决定美元上涨的一个关键因素将是固定收益市场，如果美债收益率...,BK Asset：若美债收益率回升，美元涨势可能启动
17,2020-05-11 22:40:00,黑龙江省医疗保障局推动招采制度改革，进一步完善药品集中采购机制和以市场为主导的药品价格形成机制，有力促进了药品价格大幅降低。目前，黑龙江省内各公立医疗机构全面启动国家第二批集中采购降价药物的采购和使用工作，32种药物开始降价销售...,黑龙江药品价格大幅降低，32种药物开始降价销售
18,2020-05-11 22:30:00,据日本《每日新闻》的调查，截至当地时间11日，经新冠病毒检测一度确认为阴性但之后检测再次呈阳性的患者，在日本17个道府县至少有37人。其中，北海道9人，大阪府7人，爱知县5人，兵库县和滋贺县各2人，长野县和福冈县等12府县各1人。多名日本专...,日本媒体：17个都道府县有37名新冠肺炎感染者复阳
19,2020-05-11 22:23:00,AMC院线美股跳水，现涨幅缩窄至28%，此前一度涨近50%。,AMC院线美股跳水
20,2020-05-11 22:23:00,据《葡华报》援引《publico》消息，葡萄牙移民局在发给媒体的一份声明中表示，鉴于采取了合理遏制covid-19的传播措施，移民局已逐步开放23个面对面服务机构，并为1518名市民提供了服务。,葡萄牙移民局重新开放23个服务机构，恢复发放居留程序
21,2020-05-11 22:19:00,中概股普遍走高，阿里巴巴、腾讯ADR涨超2%，京东、网易、唯品会涨超1%。,中概股普遍走高 阿里巴巴、腾讯ADR涨超2%
22,2020-05-11 22:08:00,据钢银统计，截至5月11日，全国40个城市144个仓库的钢铁总库存量为1440.97万吨，较上周环比降8.01%，为春节后的最大周降幅。业内人士表示，专项债限额的增加，以及基建公募REITs试点起步从资金端助力基建开工建设，叠加当前基建项目抢工期诉求较...,钢市库存出现春节后最大降幅 基建复苏提振需求
23,2020-05-11 22:05:00,美股低开高走，纳指率先翻红。道指跌0.84%，标普指数跌0.53%，跌幅缩窄。,美股低开高走 纳指率先翻红
24,2020-05-11 22:02:00,外媒援引一位知情人士报道，丰田汽车在计划削减北美的汽车产量，预计产量将需要一些时间才能恢复正常。在美国、加拿大和墨西哥的工厂截至10月份将生产约80万辆汽车，比去年同期下降29%，相当于较1月份的预测水平减少了32%。,丰田汽车在北美的汽车产量截至10月份将同比减少29%
25,2020-05-11 22:00:00,特朗普称，新冠肺炎病例数据看起来好多了，几乎所有地方（数据）都在下降。,特朗普：新冠肺炎病例数据看起来好多了
26,2020-05-11 21:58:00,佳都科技(600728)5月11日晚间公告，此前，公司与佳都集团、华夏人寿等11名认购对象签署了非公开发行股票之认购协议。公司已与上述战略投资者及相关合作方签署了《战略合作协议》，公司将与华夏人寿在金融保险领域的人工智能产品，与广东恒阔、粤...,佳都科技：已与华夏人寿等战投签署战略合作协议
